Time	S1_A	S1_B	S2_A	S2_B	S3_A	S3_B	S4_A	S4_B
0,00	206	141	266	233	176	101	277	105
0,03	206	141	266	233	176	101	277	106
0,06	206	141	266	233	176	101	277	106
0,10	206	141	266	233	176	101	277	106
0,13	207	141	266	233	176	101	277	106
0,16	207	141	266	233	176	101	277	106
0,19	207	141	266	233	176	101	277	106
0,23	207	141	266	233	176	101	277	106
0,26	207	141	266	233	176	101	277	106
0,29	207	141	266	233	176	101	277	106
0,32	207	141	266	233	176	101	277	106
0,35	207	141	266	233	176	101	277	106
0,39	207	141	266	233	176	101	277	106
0,42	207	141	266	233	176	101	277	106
0,45	207	141	266	233	176	101	277	106
0,48	207	141	266	233	176	101	277	106
0,52	207	141	266	233	176	101	277	106
0,55	207	141	266	233	176	101	277	106
0,58	207	141	266	233	176	101	277	106
0,61	207	141	266	233	176	101	277	106
0,65	207	141	266	233	176	101	277	106
0,68	207	141	266	233	176	101	277	106
0,71	207	141	266	233	176	101	278	106
0,74	207	141	266	233	176	101	278	106
0,77	207	141	266	233	176	101	278	106
0,81	207	141	266	233	176	101	278	106
0,84	207	141	266	233	176	101	278	106
0,87	207	141	266	233	176	101	278	106
0,90	207	142	266	233	176	101	278	106
0,94	207	142	266	233	177	101	278	106
0,97	207	142	266	233	177	101	278	106
1,00	207	142	266	233	177	101	278	106
1,01	207	142	266	233	177	101	278	106
1,03	207	142	266	233	177	101	278	106
1,04	207	142	266	233	177	101	278	106
1,06	207	142	266	233	177	101	278	106
1,07	207	141	266	233	177	101	278	106
1,09	207	141	266	233	177	101	278	106
1,10	207	141	266	233	177	101	278	106
1,12	207	141	266	233	177	101	278	106
1,13	207	141	266	233	177	101	278	106
1,15	207	141	266	233	177	101	278	106
1,16	207	141	266	233	177	101	278	106
1,18	207	141	266	233	177	101	278	106
1,19	207	141	266	233	177	101	278	106
1,21	207	141	266	233	177	101	278	106
1,22	208	141	266	233	177	101	278	106
1,24	208	141	266	233	177	101	278	106
1,25	208	141	266	233	177	101	278	106
1,26	208	141	266	233	177	102	278	106
1,28	208	141	266	233	177	102	278	106
1,29	208	141	266	233	177	102	278	106
1,31	208	141	266	233	177	102	278	106
1,32	208	142	266	233	177	102	278	106
1,34	208	142	266	233	177	102	278	106
1,35	208	142	266	233	177	102	278	106
1,37	208	142	266	233	177	102	278	106
1,38	208	142	266	233	177	101	278	106
1,40	208	142	266	233	177	101	278	106
1,41	208	142	266	233	177	101	278	106
1,43	208	142	266	233	177	101	278	106
1,44	208	142	266	233	177	101	278	106
1,46	208	142	266	233	177	101	278	106
1,47	207	142	266	233	177	101	278	106
1,49	207	142	266	233	177	102	278	106
1,50	207	142	266	233	177	102	278	106
1,51	207	142	266	233	177	102	278	106
1,53	207	142	266	233	177	102	278	106
1,54	207	142	266	233	177	102	278	106
1,56	207	142	266	233	177	102	278	106
1,57	207	141	266	233	177	102	278	106
1,59	208	141	266	233	177	102	278	106
1,60	208	141	266	233	177	101	278	106
1,62	208	141	266	233	177	101	278	106
1,63	208	141	266	233	177	101	278	106
1,65	208	141	266	233	176	101	278	106
1,66	208	141	266	233	176	101	278	106
1,68	208	141	266	233	176	101	278	106
1,69	208	141	266	233	176	101	278	105
1,71	207	141	266	233	176	101	278	105
1,72	207	141	266	233	176	101	278	105
1,74	207	141	266	233	176	101	278	105
1,75	207	141	266	233	176	101	278	105
1,76	207	141	266	233	176	101	278	105
1,78	207	141	266	233	176	101	278	105
1,79	207	141	266	233	176	101	278	105
1,81	207	141	266	233	176	101	277	106
1,82	207	141	266	233	176	101	277	106
1,84	207	141	266	233	176	101	277	106
1,85	207	141	266	233	176	101	277	106
1,87	207	141	266	233	176	101	277	106
1,88	207	141	266	233	176	101	277	106
1,90	207	141	266	233	176	101	277	106
1,91	207	141	266	233	176	101	277	106
1,93	207	141	266	233	176	101	277	106
1,94	207	140	266	233	176	101	277	106
1,96	207	140	266	233	176	101	277	106
1,97	207	140	266	233	176	101	277	106
1,99	207	140	266	233	176	101	277	106
2,00	207	140	266	233	176	101	277	106
2,01	207	140	266	233	176	101	277	106
2,03	207	140	266	233	176	101	277	106
2,04	207	140	266	233	176	101	277	106
2,06	207	140	266	233	176	101	277	106
2,07	207	140	266	233	176	101	277	106
2,09	195	140	266	233	176	101	277	106
2,10	195	140	266	233	176	101	277	106
2,12	195	140	266	233	176	101	277	106
2,13	195	140	266	233	176	101	277	106
