Time	S1_A	S1_B	S2_A	S2_B	S3_A	S3_B	S4_A	S4_B
0,00	201	103	268	212	164	90	257	95
0,03	201	103	268	212	164	90	264	96
0,06	201	104	268	212	164	90	264	96
0,09	201	104	268	212	164	90	264	96
0,12	201	104	268	212	164	91	264	96
0,15	201	104	268	212	164	91	264	96
0,18	201	104	268	212	164	91	264	96
0,21	201	104	268	212	164	91	264	96
0,24	201	104	268	214	164	91	268	96
0,26	201	104	268	214	164	91	268	96
0,29	201	104	268	214	164	91	268	97
0,32	201	107	268	214	164	93	268	97
0,35	202	107	268	214	164	93	268	97
0,38	202	107	268	214	165	93	268	97
0,41	202	107	268	214	165	93	268	97
0,44	202	107	268	214	165	93	269	97
0,47	202	107	268	216	165	93	269	97
0,50	202	107	268	216	165	93	269	97
0,53	202	107	268	216	165	93	269	98
0,56	202	113	268	216	165	95	269	98
0,59	202	113	268	216	165	95	269	98
0,62	202	113	268	216	166	95	269	98
0,65	202	113	268	216	166	95	270	98
0,68	202	113	268	216	166	95	270	98
0,71	202	113	268	217	166	95	270	98
0,74	202	113	268	217	166	95	270	98
0,76	202	113	268	217	166	95	270	98
0,79	202	113	268	217	166	96	270	99
0,82	202	118	268	217	166	96	270	99
0,85	202	118	268	217	166	96	270	99
0,88	202	118	268	217	166	96	270	99
0,91	202	118	268	217	166	96	270	99
0,94	202	118	268	218	166	96	270	99
0,97	202	118	268	218	166	96	270	99
1,00	202	118	268	218	166	97	270	99
1,01	202	118	268	218	166	97	270	100
1,03	202	119	268	218	167	97	270	100
1,04	202	119	268	218	167	97	270	100
1,06	202	119	268	218	167	97	270	100
1,07	202	119	268	218	167	97	270	100
1,09	202	119	268	219	167	97	270	100
1,10	202	119	268	219	167	97	270	100
1,12	202	119	268	219	167	98	270	100
1,13	202	119	268	219	167	98	270	100
1,15	202	119	268	219	168	98	270	101
1,16	202	120	268	219	168	98	270	101
1,18	202	120	268	219	168	98	270	101
1,19	202	120	268	219	168	98	270	101
1,21	202	120	268	219	168	98	270	101
1,22	202	120	268	219	168	98	270	101
1,24	202	120	268	219	168	98	270	101
1,25	202	120	268	219	168	98	269	101
1,26	202	120	268	219	168	98	269	102
1,28	202	120	268	219	168	98	269	102
1,29	202	120	268	219	168	98	269	102
1,31	202	120	268	219	168	98	269	102
1,32	202	120	268	220	168	98	269	102
1,34	202	120	268	220	168	99	269	102
1,35	202	120	268	220	168	99	269	102
1,37	202	120	268	220	168	99	269	102
1,38	202	120	268	220	168	99	269	102
1,40	202	120	268	220	168	99	269	103
1,41	202	121	268	220	168	99	269	103
1,43	202	121	268	220	168	99	269	103
1,44	202	121	268	221	168	99	269	103
1,46	202	121	268	221	168	99	270	103
1,47	202	121	268	221	168	99	270	103
1,49	202	121	268	221	169	99	270	103
1,50	202	121	268	221	169	99	270	103
1,51	202	121	268	221	169	99	270	103
1,53	202	121	268	221	169	99	270	103
1,54	202	121	268	221	169	99	270	103
1,56	202	121	268	221	169	99	271	103
1,57	202	121	268	221	169	99	271	103
1,59	202	121	268	221	169	99	271	103
1,60	202	121	268	221	169	99	271	103
1,62	202	121	268	221	169	99	271	103
1,63	202	121	268	221	169	99	271	103
1,65	202	121	268	221	169	99	271	103
1,66	202	121	268	221	169	99	271	103
1,68	202	121	268	221	169	99	271	103
1,69	202	121	268	221	169	99	271	103
1,71	202	121	268	221	169	99	271	103
1,72	202	121	268	221	169	99	271	103
1,74	202	121	268	221	169	99	271	103
1,75	202	121	268	221	169	99	271	103
1,76	202	121	268	221	169	99	271	103
1,78	202	120	268	221	169	98	271	103
1,79	202	120	268	221	169	98	271	103
1,81	202	120	268	220	169	98	271	103
1,82	202	120	268	220	168	98	271	103
1,84	202	120	268	220	168	98	271	103
1,85	202	120	268	220	168	98	271	103
1,87	202	120	268	220	168	98	271	103
1,88	202	120	268	220	168	98	271	103
1,90	202	120	268	220	168	98	271	102
1,91	202	120	268	220	168	98	271	102
1,93	202	120	268	220	168	98	271	102
1,94	202	120	268	220	168	98	271	102
1,96	202	120	268	220	168	98	271	102
1,97	202	120	268	220	168	98	270	102
1,99	202	120	268	220	168	98	270	102
2,00	202	120	268	220	168	98	270	102
2,01	202	120	268	220	168	98	270	101
2,03	202	120	268	220	168	98	270	101
2,04	202	120	268	219	168	98	270	101
2,06	202	120	268	219	167	98	270	101
2,07	202	120	268	219	167	98	270	101
2,09	202	120	268	219	167	98	270	101
2,10	202	120	268	219	167	98	270	101
2,12	202	120	268	219	167	97	270	101
2,13	202	120	268	219	167	97	270	101
2,15	202	120	268	219	167	97	270	100
2,16	202	119	268	218	167	97	270	100
2,18	202	119	268	218	167	97	270	100
2,19	202	119	268	218	167	97	270	100
2,21	202	119	268	218	167	97	270	100
2,22	202	119	268	218	167	96	270	100
2,24	202	119	268	218	167	96	270	100
2,25	202	119	268	218	167	96	270	100
2,26	202	119	268	218	167	96	270	99
2,28	202	119	268	217	166	96	270	99
2,29	203	119	268	217	166	96	269	99
2,31	203	119	268	217	166	96	269	99
2,32	203	119	268	217	166	96	269	99
2,34	203	119	268	217	166	95	269	99
2,35	203	119	268	217	166	95	269	99
2,37	203	119	268	217	166	95	269	99
2,38	203	119	268	217	166	95	269	99
2,40	203	119	268	217	166	95	269	98
2,41	203	118	268	217	166	95	269	98
2,43	203	118	268	217	166	95	269	98
2,44	203	118	268	217	166	94	269	98
2,46	203	118	268	217	166	94	269	98
2,47	203	118	268	217	166	94	269	98
2,49	203	118	268	217	166	94	269	98
2,50	203	118	268	217	166	94	269	98
2,51	203	118	268	216	165	94	269	97
2,53	203	117	268	216	165	94	269	97
2,54	202	117	268	216	165	94	269	97
2,56	202	117	268	216	165	94	269	97
2,57	202	117	268	216	165	94	269	97
2,59	202	117	268	216	165	94	269	97
2,60	202	117	268	216	165	94	268	97
2,62	202	117	268	216	165	94	268	97
2,63	202	117	268	216	165	94	268	97
2,65	202	117	268	216	165	94	268	97
2,66	202	114	268	216	165	94	268	97
2,68	202	114	268	216	165	93	268	97
2,69	202	114	268	216	165	93	268	97
2,71	202	114	268	216	165	93	268	97
2,72	202	114	268	216	165	93	268	97
2,74	202	114	268	216	164	93	268	97
2,75	202	114	268	216	164	93	268	97
2,76	202	114	268	216	164	93	268	96
2,78	201	112	268	216	164	93	268	96
2,79	201	112	268	216	164	93	268	96
2,81	201	112	268	216	164	93	267	96
2,82	201	112	268	216	164	93	267	96
2,84	201	112	268	216	164	93	267	96
2,85	201	112	268	216	164	93	267	96
2,87	201	112	268	216	164	93	267	96
2,88	201	112	268	215	164	93	267	96
2,90	201	112	268	215	164	94	267	96
2,91	201	113	268	215	164	94	267	96
2,93	201	113	268	215	164	94	267	96
2,94	201	113	268	215	164	94	267	96
2,96	201	113	268	215	164	94	267	96
2,97	201	113	268	215	164	94	267	96
2,99	201	113	268	215	164	94	267	96
3,00	201	113	268	215	164	94	267	96
3,01	201	113	268	215	164	94	266	96
3,03	200	114	268	215	164	94	266	96
3,04	200	114	268	215	164	94	266	96
3,06	200	114	268	215	164	94	266	96
3,07	200	114	268	215	164	94	266	96
3,09	200	114	268	215	164	94	266	96
3,10	200	114	268	215	164	94	266	96
3,12	200	114	268	215	164	94	265	96
3,13	200	114	268	215	164	94	265	96
3,15	200	114	268	215	164	94	265	97
3,16	200	116	268	215	164	94	265	97
3,18	200	116	268	215	164	94	265	97
3,19	200	116	268	215	164	94	265	97
3,21	200	116	268	215	164	94	265	97
3,22	200	116	268	215	164	94	265	97
3,24	200	116	268	216	164	94	264	97
3,25	200	116	268	216	164	94	264	97
3,26	200	116	268	216	164	94	264	97
3,28	200	116	268	216	164	94	264	97
3,29	200	116	268	216	164	94	264	97
3,31	200	116	268	216	164	94	264	97
3,32	200	116	268	216	164	94	264	97
3,34	200	116	268	216	164	94	262	97
3,35	200	116	268	216	164	94	262	97
3,37	200	116	267	216	164	94	262	97
3,38	200	116	267	216	164	94	262	97
3,40	200	116	267	216	164	94	262	97
3,41	200	117	267	216	165	94	262	97
3,43	200	117	267	216	165	94	262	97
3,44	200	117	267	216	165	94	260	97
3,46	200	117	267	216	165	95	260	97
3,47	200	117	267	216	165	95	260	97
3,49	200	117	267	216	165	95	260	97
3,50	200	117	267	216	165	95	260	97
3,51	200	117	267	216	165	95	260	98
3,53	200	117	267	216	165	95	260	98
3,54	200	117	267	216	165	95	259	98
3,56	200	117	267	216	165	95	259	98
3,57	200	117	267	216	165	95	259	98
3,59	200	117	267	216	165	95	259	98
3,60	200	117	267	216	165	95	259	98
3,62	200	117	268	216	165	95	259	98
3,63	200	117	268	216	165	95	259	112
3,65	199	117	268	216	169	95	277	112
3,66	199	118	268	216	169	95	277	112
3,68	199	118	268	216	169	101	277	112
3,69	199	118	268	216	169	101	277	112
3,71	199	118	268	221	169	101	277	112
3,72	199	118	268	221	169	101	277	112
3,74	199	118	268	221	169	101	277	112
3,75	199	118	268	221	190	101	306	112
3,76	199	118	268	221	190	101	306	154
3,78	200	119	268	221	190	132	306	154
3,79	200	119	268	221	190	132	306	154
3,81	200	119	268	221	190	132	306	154
3,82	200	119	268	233	190	132	306	154
3,84	200	119	268	233	190	132	306	154
3,85	200	119	268	233	190	132	298	154
3,87	200	119	268	233	214	132	298	154
3,88	200	119	268	233	214	132	298	152
3,90	200	119	268	233	214	151	298	152
3,91	200	99	268	233	214	151	298	152
3,93	200	99	268	233	214	151	298	152
3,94	200	99	268	243	214	151	298	152
3,96	200	99	268	243	214	151	229	152
3,97	200	99	268	243	214	151	229	152
3,99	200	99	268	243	229	151	229	152
4,00	200	99	268	243	229	160	229	152
4,01	200	99	268	243	229	160	229	109
4,03	200	110	268	243	229	160	229	109
4,04	200	110	268	243	229	160	229	109
4,06	200	110	268	243	229	160	229	109
4,07	200	110	268	271	229	160	212	109
4,09	200	110	268	271	229	160	212	109
4,10	200	110	268	271	178	160	212	109
4,12	200	110	268	271	178	118	212	109
4,13	200	110	268	271	178	118	212	96
4,14	209	110	268	271	178	118	212	96
4,16	209	140	268	271	178	118	212	96
4,17	209	140	268	271	178	118	228	96
4,19	209	140	268	280	178	118	228	96
4,20	209	140	278	280	148	118	228	96
4,22	209	140	278	280	148	118	228	96
4,23	209	140	278	280	148	93	228	96
4,25	209	140	278	280	148	93	228	96
4,26	271	140	278	280	148	93	228	98
4,28	271	189	278	280	148	93	197	98
4,29	271	189	278	280	148	93	197	98
4,30	271	189	278	215	148	93	197	98
4,32	271	189	278	215	160	93	197	98
4,33	271	189	253	215	160	95	197	98
4,35	271	189	253	215	160	95	197	98
4,36	271	189	253	215	160	95	197	98
4,38	271	189	253	215	160	95	193	98
4,39	240	189	253	215	160	95	193	98
4,41	240	160	253	215	160	95	193	98
4,42	240	160	253	197	160	95	193	98
4,43	240	160	253	197	164	95	193	98
4,45	240	160	289	197	164	95	193	98
4,46	240	160	289	197	164	95	193	98
4,48	240	160	289	197	164	95	218	98
4,49	240	160	289	197	164	95	218	98
4,51	173	160	289	197	164	95	218	97
4,52	173	97	289	197	164	95	218	97
4,54	173	97	289	216	164	95	218	97
4,55	173	97	289	216	164	95	218	97
4,57	173	97	271	216	164	95	218	97
4,58	173	97	271	216	164	95	229	97
4,59	173	97	271	216	164	95	229	97
4,61	173	97	271	216	164	95	229	97
4,62	173	97	271	216	164	95	229	97
4,64	218	97	271	216	164	95	229	97
4,65	218	115	271	215	164	95	229	97
4,67	218	115	271	215	164	95	229	97
4,68	218	115	264	215	164	95	227	97
4,70	218	115	264	215	164	95	227	97
4,71	218	115	264	215	164	95	227	97
4,72	218	115	264	215	164	95	227	97
4,74	218	115	264	215	164	95	227	97
4,75	215	115	264	215	164	95	227	96
4,77	215	109	264	215	164	95	227	96
4,78	215	109	264	215	164	95	220	96
4,80	215	109	269	215	164	95	220	96
4,81	215	109	269	215	164	95	220	96
4,83	215	109	269	215	164	95	220	96
4,84	215	109	269	215	164	95	220	96
4,86	215	109	269	215	164	95	220	96
4,87	215	109	269	215	163	95	220	96
4,88	170	109	269	213	163	95	220	96
4,90	170	99	269	213	163	95	200	96
4,91	170	99	288	213	163	95	200	96
4,93	170	99	288	213	163	95	200	96
4,94	170	99	288	213	163	95	200	96
4,96	170	99	288	213	163	95	200	96
4,97	170	99	288	213	163	95	200	96
4,99	170	99	288	213	150	95	200	96
5,00	233	99	288	179	150	95	172	96
5,01	233	182	288	179	150	95	172	96
5,03	233	182	242	179	150	95	172	96
5,04	233	182	242	179	150	95	172	96
5,06	233	182	242	179	150	95	172	96
5,07	233	182	242	179	150	95	172	96
5,09	233	182	242	179	150	95	172	96
5,10	233	182	242	179	155	92	196	96
5,12	233	182	242	252	155	92	196	96
5,13	249	182	242	252	155	92	196	96
5,15	249	162	247	252	155	92	196	96
5,16	249	162	247	252	155	92	196	96
5,18	249	162	247	252	155	92	196	96
5,19	249	162	247	252	155	92	196	96
5,21	249	162	247	252	200	92	213	96
5,22	249	162	247	252	200	147	213	96
5,24	249	162	247	252	200	147	213	96
5,25	183	162	247	287	200	147	213	96
5,26	183	103	260	287	200	147	213	96
5,28	183	103	260	287	200	147	213	96
5,29	183	103	260	287	200	147	213	96
5,31	183	103	260	287	200	147	256	96
5,32	183	103	260	287	267	201	256	96
5,34	183	103	260	287	267	201	256	96
5,35	183	103	260	287	267	201	256	96
5,37	183	103	260	218	267	201	256	187
5,38	180	103	260	218	267	201	256	187
5,40	180	105	257	218	267	201	256	187
5,41	180	105	257	218	267	201	321	187
5,43	180	105	257	218	267	201	321	187
5,44	180	105	257	218	193	128	321	187
5,46	180	105	257	218	193	128	321	187
5,47	180	105	257	218	193	128	321	187
5,49	180	105	257	215	193	128	321	187
5,50	179	105	257	215	193	128	321	190
5,51	179	115	256	215	193	128	296	190
5,53	179	115	256	215	193	128	296	190
5,54	179	115	256	215	193	103	296	190
5,56	179	115	256	215	164	103	296	190
5,57	179	115	256	215	164	103	296	190
5,59	179	115	256	215	164	103	296	190
5,60	179	115	256	215	164	103	296	190
5,62	179	115	256	215	164	103	249	111
5,63	180	115	257	215	164	103	249	111
5,65	180	116	257	215	164	103	249	111
5,66	180	116	257	215	164	94	249	111
5,68	180	116	257	215	164	94	249	111
5,69	180	116	257	215	164	94	249	111
5,71	180	116	257	215	164	94	249	111
5,72	180	116	257	215	164	94	249	111
5,74	180	116	257	215	164	94	248	111
5,75	182	116	259	215	164	94	248	96
5,76	182	116	259	215	164	94	248	96
5,78	182	116	259	215	164	94	248	96
5,79	182	116	259	215	164	94	248	96
5,81	182	116	259	215	164	94	248	96
5,82	182	116	259	215	164	94	248	96
5,84	182	116	259	215	164	94	252	96
5,85	182	116	259	215	164	94	252	96
5,87	182	116	262	215	164	94	252	96
5,88	186	116	262	215	163	93	252	96
5,90	186	112	262	215	163	93	252	96
5,91	186	112	262	215	163	93	252	96
5,93	186	112	262	215	163	93	252	96
5,94	186	112	262	215	163	93	250	96
5,96	186	112	262	214	163	93	250	96
5,97	186	112	262	214	163	93	250	96
5,99	186	112	265	214	163	93	250	96
6,00	192	112	265	214	163	91	250	95
6,01	192	107	265	214	163	91	250	95
6,03	192	107	265	214	163	91	250	95
6,04	192	107	265	214	163	91	247	95
6,06	192	107	265	214	163	91	247	95
6,07	192	107	265	212	163	91	247	95
6,09	192	107	265	212	163	91	247	95
6,10	192	107	267	212	163	88	247	95
6,12	192	107	267	212	163	88	247	95
6,13	195	107	267	212	163	88	247	95
6,15	195	103	267	212	163	88	244	95
6,16	195	103	267	212	163	88	244	95
6,18	195	103	267	212	163	88	244	95
6,19	195	103	267	210	163	88	244	95
6,21	195	103	267	210	163	88	244	95
6,22	195	103	267	210	163	88	244	95
6,24	195	103	267	210	163	88	244	95
6,25	197	103	267	210	163	88	242	94
6,26	197	100	267	210	163	88	242	94
6,28	197	100	267	210	163	88	242	94
6,29	197	100	267	210	163	88	242	94
6,31	197	100	267	209	163	88	242	94
6,32	197	100	267	209	163	87	242	94
6,34	197	100	267	209	163	87	242	94
6,35	197	100	267	209	163	87	242	94
6,37	200	100	267	209	163	87	242	93
6,38	200	100	267	209	163	87	242	93
6,40	200	99	267	209	163	87	242	93
6,41	200	99	267	209	163	87	242	93
6,43	200	99	267	209	163	87	242	93
6,44	200	99	267	209	163	87	242	93
6,46	200	99	267	209	163	87	242	93
6,47	200	99	267	209	163	87	241	93
6,49	200	99	267	209	163	87	241	93
6,50	201	99	267	209	163	87	241	93
6,51	201	99	267	209	163	87	241	93
6,53	201	99	267	209	163	87	241	93
6,54	201	99	267	209	163	87	241	93
6,56	201	99	267	210	163	87	241	93
6,57	201	99	267	210	163	87	245	93
6,59	201	99	267	210	163	87	245	93
6,60	201	99	267	210	163	87	245	93
6,62	201	99	267	210	163	87	245	93
6,63	201	99	267	210	163	87	245	93
6,65	201	99	267	210	163	87	245	93
6,66	201	99	267	210	163	88	245	93
6,68	201	99	267	211	163	88	247	93
6,69	201	99	267	211	163	88	247	93
6,71	201	99	267	211	163	88	247	93
6,72	201	99	267	211	163	88	247	93
6,74	201	99	267	211	163	88	247	94
6,75	201	99	267	211	163	88	247	94
6,76	201	101	267	211	163	88	247	94
6,78	201	101	267	211	163	89	247	94
6,79	201	101	267	212	164	89	247	94
6,81	201	101	267	212	164	89	247	94
6,82	201	101	267	212	164	89	247	94
6,84	201	101	267	212	164	89	247	94
6,85	201	101	267	212	164	89	247	94
6,87	201	101	267	212	164	89	247	95
6,88	201	101	267	212	164	91	247	95
6,90	201	103	267	212	164	91	247	95
6,91	201	103	267	213	164	91	247	95
6,93	201	103	267	213	164	91	247	95
6,94	201	103	267	213	164	91	247	95
6,96	201	103	267	213	164	91	247	95
6,97	201	103	267	213	164	91	247	95
6,99	201	103	267	213	164	91	247	95
7,00	201	103	267	213	164	92	246	95
7,01	201	104	267	213	164	92	246	95
7,03	201	104	267	214	164	92	246	95
7,04	201	104	267	214	164	92	246	95
7,06	201	104	267	214	164	92	246	95
7,07	201	104	267	214	164	92	246	95
7,09	201	104	267	214	164	92	246	95
7,10	201	104	267	214	164	92	245	95
7,12	200	104	267	214	164	92	245	95
7,13	200	104	267	214	163	92	245	95
7,15	200	104	267	214	163	92	245	95
7,16	200	104	267	214	163	92	245	95
7,18	200	104	267	214	163	92	245	95
7,19	200	104	267	214	163	92	245	95
7,21	200	104	267	214	163	92	245	95
7,22	200	104	267	214	163	93	245	95
7,24	200	104	267	214	163	93	245	95
7,25	200	104	267	214	163	93	245	95
7,26	200	104	267	214	163	93	245	95
7,28	200	104	267	214	163	93	245	95
7,29	200	104	267	214	163	93	245	95
7,31	200	104	267	214	163	93	247	95
7,32	200	104	267	214	163	93	247	95
7,34	200	104	267	214	163	93	247	95
7,35	200	104	267	214	163	93	247	95
7,37	200	104	267	214	163	93	247	95
7,38	200	104	267	214	163	93	247	95
7,40	200	105	267	214	163	93	247	95
7,41	200	105	267	214	163	93	249	95
7,43	200	105	267	214	163	93	249	95
7,44	200	105	267	214	163	93	249	95
7,46	200	105	267	214	163	93	249	95
7,47	200	105	267	214	164	93	249	95
7,49	200	105	267	214	164	93	249	96
7,50	200	105	267	214	164	93	249	96
7,51	200	106	267	214	164	93	250	96
7,53	200	106	267	214	164	93	250	96
7,54	200	106	267	214	164	93	250	96
7,56	200	106	267	214	164	94	250	96
7,57	200	106	267	214	164	94	250	96
7,59	200	106	267	214	164	94	250	96
7,60	200	106	267	214	164	94	250	96
7,62	200	106	267	215	164	94	250	96
7,63	200	107	267	215	164	94	250	96
7,65	200	107	267	215	164	94	250	96
7,66	200	107	267	215	164	94	250	96
7,68	200	107	267	215	164	94	250	96
7,69	200	107	267	215	164	94	250	96
7,71	200	107	267	215	164	94	250	96
7,72	200	107	267	215	164	94	250	96
7,74	201	107	267	215	164	94	250	96
7,75	201	107	267	215	164	94	250	96
7,76	201	107	267	215	164	94	250	96
7,78	201	107	267	215	164	94	250	96
7,79	201	107	267	215	164	94	250	96
7,81	201	107	267	215	164	94	250	96
7,82	201	107	267	215	164	94	250	96
7,84	201	107	267	215	164	94	249	96
7,85	201	107	267	215	164	94	249	96
7,87	201	107	267	215	164	94	249	96
7,88	201	107	267	215	164	94	249	96
7,90	201	107	267	215	164	94	249	96
7,91	201	107	267	215	164	94	249	96
7,93	201	107	267	215	164	94	249	96
7,94	201	107	267	215	164	94	248	96
7,96	201	107	267	215	164	94	248	96
7,97	201	107	267	215	164	94	248	96
7,99	201	107	267	215	164	94	248	96
8,00	201	107	267	215	164	94	248	96
8,01	201	107	267	215	164	94	248	96
8,03	201	107	267	215	164	94	248	96
8,04	201	107	267	215	164	94	248	96
8,06	201	107	267	215	164	94	248	96
8,07	201	107	267	215	164	94	248	96
8,09	201	107	267	215	164	94	248	96
8,10	201	107	267	215	164	94	248	96
8,12	201	107	267	215	164	94	248	96
8,13	201	108	267	215	164	94	248	96
8,15	201	108	267	215	164	94	248	96
8,16	201	108	267	215	164	94	248	96
8,18	201	108	267	215	164	94	248	96
8,19	201	108	267	215	164	94	248	96
8,21	201	108	267	215	164	94	248	96
8,22	201	108	267	215	164	94	248	96
8,24	201	108	267	215	164	94	248	96
8,25	201	108	267	215	164	94	248	96
8,26	201	108	267	215	164	94	248	96
8,28	201	108	267	215	164	94	248	96
8,29	201	108	267	215	164	94	248	96
8,31	201	108	267	215	164	94	248	96
8,32	201	108	267	215	164	94	248	96
8,34	201	108	267	215	164	94	248	96
8,35	201	108	267	215	164	94	248	96
8,37	201	108	267	215	164	94	249	96
8,38	201	109	267	215	164	94	249	96
8,40	201	109	267	215	164	94	249	96
8,41	201	109	267	215	164	94	249	96
8,43	201	109	267	215	164	94	249	96
8,44	201	109	267	215	164	94	249	96
8,46	201	109	267	215	164	94	249	96
8,47	201	109	267	215	164	94	251	96
8,49	201	109	267	215	164	94	251	96
8,50	201	109	267	215	164	94	251	96
8,51	201	109	267	215	164	94	251	96
8,53	201	109	267	215	164	94	251	96
8,54	201	109	267	215	164	94	251	96
8,56	201	109	267	215	164	94	251	96
8,57	201	109	267	215	164	94	252	96
8,59	201	109	267	215	164	94	252	96
8,60	201	109	267	215	164	94	252	96
8,62	201	109	267	215	164	94	252	97
8,63	201	110	267	215	164	94	252	97
8,65	201	110	267	215	164	94	252	97
8,66	201	110	267	215	164	94	252	97
8,68	201	110	267	215	164	94	252	97
8,69	201	110	267	215	164	94	252	97
8,71	201	110	267	215	164	94	252	97
8,72	201	110	267	215	164	94	252	97
8,74	201	110	267	215	164	94	252	96
8,75	201	110	267	215	164	94	252	96
8,76	201	110	267	215	164	94	252	96
8,78	201	110	267	215	164	94	252	96
8,79	201	110	267	215	164	94	252	96
8,81	201	110	267	215	164	94	252	96
8,82	201	110	267	215	164	94	252	96
8,84	201	110	267	215	164	94	252	96
8,85	201	110	267	215	164	94	252	96
8,87	201	110	267	215	164	94	252	96
8,88	201	110	267	215	164	94	252	96
